,1,15 min,2,30 min,3,60 min,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,1.0,60.9,1.0,61.0,1.0,50.81,,,,,,,,,
1,2.0,46.36,3.0,52.35,5.0,48.75,,,,,,,,,
2,3.0,38.4,5.0,47.6,9.0,47.32,,,,,,,,,
3,4.0,16.99,7.0,54.2,13.0,41.86,,,,,,,,,
4,5.0,46.56,9.0,53.8,17.0,40.07,,,,,,,,,
5,6.0,46.38,11.0,46.7,21.0,47.66,,,,,,,,,
6,7.0,37.55,13.0,48.35,25.0,56.46,,,,,,,,,
7,8.0,21.85,15.0,42.25,29.0,61.11,,,,,,,,,
8,9.0,65.32,17.0,49.1,33.0,68.06,,,,,,,,,
9,10.0,62.75,19.0,42.9,37.0,69.0,,,,,,,,,
10,11.0,38.6,21.0,47.2,41.0,67.09,,,,,,,,,
11,12.0,21.75,23.0,53.8,45.0,67.09,,,,,,,,,
12,13.0,46.34,25.0,55.55,49.0,66.21,,,,,,,,,
13,14.0,46.37,27.0,63.5,53.0,64.0,,,,,,,,,
14,15.0,46.33,29.0,65.6,57.0,67.0,,,,,,,,,
15,16.0,32.05,31.0,74.2,61.0,66.99,,,,,,,,,
16,17.0,20.83,33.0,67.65,65.0,66.7,,,,,,,,,
17,18.0,24.2,35.0,75.25,69.0,70.0,,,,,,,,,
18,19.0,43.2,37.0,72.45,73.0,70.0,,,,,,,,,
19,20.0,64.95,39.0,77.55,77.0,67.65,,,,,,,,,
20,21.0,27.8,41.0,77.3,81.0,66.0,,,,,,,,,
21,22.0,45.33,43.0,70.7,85.0,59.7,,,,,,,,,
22,23.0,65.26,45.0,69.6,89.0,56.47,,,,,,,,,
23,24.0,74.32,47.0,76.2,93.0,56.0,,,,,,,,,
24,25.0,44.2,49.0,75.25,,,,,,,,,,,
25,26.0,45.34,51.0,68.65,,,,,,,,,,,
26,27.0,65.29,53.0,76.8,,,,,,,,,,,
27,28.0,73.86,55.0,69.7,,,,,,,,,,,
28,29.0,23.49,57.0,73.95,,,,,,,,,,,
29,30.0,45.36,59.0,67.35,,,,,,,,,,,
30,31.0,65.3,61.0,69.8,,,,,,,,,,,
31,32.0,75.48,63.0,63.7,,,,,,,,,,,
32,33.0,60.05,65.0,63.45,,,,,,,,,,,
33,34.0,64.09,67.0,68.55,,,,,,,,,,,
34,35.0,65.29,69.0,65.05,,,,,,,,,,,
35,36.0,65.29,71.0,76.0,,,,,,,,,,,
36,37.0,64.01,73.0,75.95,,,,,,,,,,,
37,38.0,64.1,75.0,84.05,,,,,,,,,,,
38,39.0,67.04,77.0,84.05,,,,,,,,,,,
39,40.0,67.06,79.0,77.45,,,,,,,,,,,
40,41.0,64.08,81.0,78.0,,,,,,,,,,,
41,42.0,64.09,83.0,67.5,,,,,,,,,,,
42,43.0,65.2,85.0,63.0,,,,,,,,,,,
43,44.0,65.25,87.0,55.9,,,,,,,,,,,
44,45.0,65.25,89.0,62.94,,,,,,,,,,,
45,46.0,65.27,91.0,62.3,,,,,,,,,,,
46,47.0,65.22,93.0,60.1,,,,,,,,,,,
47,48.0,64.05,95.0,53.2,,,,,,,,,,,
48,49.0,77.61,,,,,,,,,,,,,
49,50.0,65.5,,,,,,,,,,,,,
50,51.0,64.05,,,,,,,,,,,,,
51,52.0,64.02,,,,,,,,,,,,,
52,53.0,65.93,,,,,,,,,,,,,
53,54.0,65.27,,,,,,,,,,,,,
54,55.0,64.08,,,,,,,,,,,,,
55,56.0,64.01,,,,,,,,,,,,,
56,57.0,65.23,,,,,,,,,,,,,
57,58.0,64.1,,,,,,,,,,,,,
58,59.0,64.09,,,,,,,,,,,,,
59,60.0,65.2,,,,,,,,,,,,,
60,61.0,64.69,,,,,,,,,,,,,
61,62.0,64.09,,,,,,,,,,,,,
62,63.0,65.25,,,,,,,,,,,,,
63,64.0,65.29,,,,,,,,,,,,,
64,65.0,64.02,,,,,,,,,,,,,
65,66.0,64.08,,,,,,,,,,,,,
66,67.0,65.27,,,,,,,,,,,,,
67,68.0,77.68,,,,,,,,,,,,,
68,69.0,64.45,,,,,,,,,,,,,
69,70.0,65.26,,,,,,,,,,,,,
70,71.0,65.3,,,,,,,,,,,,,
71,72.0,65.29,,,,,,,,,,,,,
72,73.0,77.68,,,,,,,,,,,,,
73,74.0,74.9,,,,,,,,,,,,,
74,75.0,65.25,,,,,,,,,,,,,
75,76.0,65.22,,,,,,,,,,,,,
76,77.0,77.7,,,,,,,,,,,,,
77,78.0,65.3,,,,,,,,,,,,,
78,79.0,45.4,,,,,,,,,,,,,
79,80.0,40.69,,,,,,,,,,,,,
80,81.0,69.87,,,,,,,,,,,,,
81,82.0,65.25,,,,,,,,,,,,,
82,83.0,45.39,,,,,,,,,,,,,
83,84.0,36.05,,,,,,,,,,,,,
84,85.0,69.87,,,,,,,,,,,,,
85,86.0,65.29,,,,,,,,,,,,,
86,87.0,45.37,,,,,,,,,,,,,
87,88.0,45.32,,,,,,,,,,,,,
88,89.0,75.07,,,,,,,,,,,,,
89,90.0,69.83,,,,,,,,,,,,,
90,91.0,45.39,,,,,,,,,,,,,
91,92.0,45.32,,,,,,,,,,,,,
92,93.0,69.84,,,,,,,,,,,,,
93,94.0,65.25,,,,,,,,,,,,,
94,95.0,45.34,,,,,,,,,,,,,
95,96.0,45.31,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,
