,1,15 min,2,30 min,3,60 min,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,1,40.06,1.0,32.75,1.0,38.9,,,,
1,2,47.82,3.0,32.75,5.0,35.38,,,,
2,3,38.89,5.0,33.5,9.0,33.95,,,,
3,4,38.84,7.0,33.5,13.0,33.06,,,,
4,5,52.57,9.0,31.75,17.0,30.47,,,,
5,6,45.81,11.0,31.75,21.0,35.76,,,,
6,7,39.88,13.0,32.5,25.0,41.0,,,,
7,8,49.95,15.0,32.5,29.0,49.18,,,,
8,9,54.03,17.0,32.5,33.0,54.25,,,,
9,10,51.4,19.0,32.5,37.0,56.0,,,,
10,11,39.11,21.0,35.5,41.0,56.11,,,,
11,12,28.36,23.0,35.5,45.0,55.53,,,,
12,13,48.87,25.0,37.5,49.0,55.76,,,,
13,14,43.38,27.0,40.5,53.0,54.56,,,,
14,15,35.36,29.0,43.5,57.0,55.0,,,,
15,16,36.29,31.0,46.5,61.0,56.06,,,,
16,17,34.11,33.0,49.07,65.0,57.5,,,,
17,18,34.12,35.0,50.0,69.0,59.49,,,,
18,19,45.11,37.0,50.07,73.0,60.9,,,,
19,20,52.66,39.0,50.07,77.0,60.03,,,,
20,21,37.31,41.0,49.5,81.0,57.5,,,,
21,22,26.75,43.0,49.5,85.0,49.95,,,,
22,23,46.3,45.0,48.5,89.0,47.75,,,,
23,24,57.24,47.0,48.5,93.0,44.27,,,,
24,25,23.0,49.0,49.7,,,,,,
25,26,43.37,51.0,49.7,,,,,,
26,27,54.09,53.0,47.7,,,,,,
27,28,66.39,55.0,47.7,,,,,,
28,29,40.0,57.0,52.5,,,,,,
29,30,54.02,59.0,47.5,,,,,,
30,31,54.1,61.0,48.5,,,,,,
31,32,66.24,63.0,48.5,,,,,,
32,33,45.07,65.0,51.7,,,,,,
33,34,54.02,67.0,51.7,,,,,,
34,35,54.37,69.0,53.85,,,,,,
35,36,61.0,71.0,53.85,,,,,,
36,37,54.05,73.0,53.85,,,,,,
37,38,54.05,75.0,53.85,,,,,,
38,39,55.31,77.0,53.85,,,,,,
39,40,54.08,79.0,53.85,,,,,,
40,41,63.9,81.0,49.9,,,,,,
41,42,54.08,83.0,49.9,,,,,,
42,43,54.05,85.0,43.85,,,,,,
43,44,54.05,87.0,43.85,,,,,,
44,45,54.57,89.0,43.0,,,,,,
45,46,54.08,91.0,44.5,,,,,,
46,47,54.02,93.0,41.5,,,,,,
47,48,54.01,95.0,41.5,,,,,,
48,49,64.93,,,,,,,,
49,50,55.01,,,,,,,,
50,51,54.02,,,,,,,,
51,52,54.01,,,,,,,,
52,53,54.06,,,,,,,,
53,54,52.68,,,,,,,,
54,55,54.02,,,,,,,,
55,56,40.04,,,,,,,,
56,57,54.05,,,,,,,,
57,58,54.06,,,,,,,,
58,59,54.04,,,,,,,,
59,60,49.35,,,,,,,,
60,61,40.07,,,,,,,,
61,62,48.5,,,,,,,,
62,63,54.03,,,,,,,,
63,64,54.84,,,,,,,,
64,65,54.05,,,,,,,,
65,66,54.03,,,,,,,,
66,67,56.04,,,,,,,,
67,68,77.35,,,,,,,,
68,69,57.62,,,,,,,,
69,70,54.05,,,,,,,,
70,71,54.08,,,,,,,,
71,72,54.04,,,,,,,,
72,73,65.0,,,,,,,,
73,74,64.92,,,,,,,,
74,75,57.26,,,,,,,,
75,76,42.05,,,,,,,,
76,77,73.76,,,,,,,,
77,78,64.9,,,,,,,,
78,79,54.05,,,,,,,,
79,80,54.03,,,,,,,,
80,81,60.34,,,,,,,,
81,82,54.06,,,,,,,,
82,83,54.01,,,,,,,,
83,84,50.03,,,,,,,,
84,85,60.38,,,,,,,,
85,86,54.04,,,,,,,,
86,87,40.2,,,,,,,,
87,88,40.04,,,,,,,,
88,89,54.05,,,,,,,,
89,90,54.07,,,,,,,,
90,91,32.55,,,,,,,,
91,92,24.6,,,,,,,,
92,93,60.32,,,,,,,,
93,94,54.03,,,,,,,,
94,95,35.68,,,,,,,,
95,96,35.68,,,,,,,,
